#OTU ID,L1S8,L1S57,L1S76,L1S105,L1S140,L1S208,L1S257,L1S281
bacteria1,0.000120192,0,0.000113161,0.000110314,0,0.000101399,0.000697837,0
bacteria2,0,0,0,0,0,0,0,0
bacteria3,0,0,0,0,0,0,0,0
bacteria4,0,0,0,0,0,0,0,0
bacteria5,0,0,0,0,0,0,0,0
bacteria6,0,0,0,0,0,0,0,0
bacteria7,0,0,0,0,0,0,0,0
bacteria8,0,0,0,0,0,0,0,0
bacteria9,0,0,0,0,0,0,0,0
bacteria10,0,0,0,0,0,0,0,0
bacteria11,0,0,0,0,0,0,0,0
bacteria12,0,0,0,0,0,0,0,0
bacteria13,0,0,0,0,0,0,0,0
bacteria14,0,0,0,0,0,0,0,0
bacteria15,0,0.000102114,0,0.000110314,0,0,0,0
bacteria16,0,0,0,0,0,0,0,0
bacteria17,0,0,0,0,0,0,0,0
bacteria18,0,0,0,0,0,0,0,0
bacteria19,0,0,0,0,0,0,0,0
bacteria20,0,0,0,0,0,0,0,0
bacteria21,0,0,0,0,0,0,0,0
bacteria22,0,0,0,0,0,0,0,0
bacteria23,0.000120192,0,0.000113161,0.000110314,0.00094373,0.000202799,0,0
bacteria24,0,0,0,0,0,0,0,0
bacteria25,0,0,0,0,0,0,0,0
bacteria26,0,0,0,0,0,0,0,0
bacteria27,0,0,0,0,0,0,0,0
bacteria28,0,0,0,0,0,0,0,0
bacteria29,0,0,0,0,0,0,0,0
bacteria30,0,0,0,0,0,0,0,0
bacteria31,0,0,0,0,0,0,0,0
bacteria32,0,0,0,0,0,0,0,0
bacteria33,0,0,0,0,0,0,0,0.000132485
bacteria34,0,0,0,0,0,0,0,0
bacteria35,0,0,0,0,0,0,0,0
bacteria36,0,0,0,0,0,0,0,0
bacteria37,0,0,0,0,0,0,0,0
bacteria38,0,0,0,0,0,0,0,0
bacteria39,0,0,0,0,0,0,0,0
bacteria40,0,0,0,0,0,0,0,0
bacteria41,0,0,0,0,0,0,0,0
bacteria42,0,0,0,0,0,0,0,0
bacteria43,0,0,0,0,0,0,0,0
bacteria44,0,0,0,0,0,0,0,0
bacteria45,0,0,0,0,0,0,0,0
bacteria46,0,0,0,0,0,0,0,0
bacteria47,0,0,0,0,0,0,0,0
bacteria48,0,0,0,0,0,0,0,0
bacteria49,0,0,0,0,0,0,0,0
bacteria50,0,0,0,0,0,0,0.000139567,0
bacteria51,0,0,0,0,0,0,0,0
bacteria52,0,0,0,0,0,0,0,0
bacteria53,0,0,0,0,0,0,0,0
bacteria54,0,0,0,0,0,0,0,0
bacteria55,0,0,0,0,0,0,0,0
bacteria56,0.000120192,0.000102114,0,0,0,0,0,0
bacteria57,0,0,0,0,0,0,0,0
bacteria58,0,0,0,0,0,0,0,0
bacteria59,0,0,0,0,0,0,0,0
bacteria60,0,0,0,0,0,0,0,0
bacteria61,0,0,0,0,0,0,0,0
bacteria62,0,0,0,0.000110314,0,0,0,0
bacteria63,0,0,0,0,0,0,0,0
bacteria64,0,0,0,0,0,0,0,0
bacteria65,0,0,0,0,0,0,0,0
bacteria66,0,0,0,0,0,0,0,0
bacteria67,0,0,0,0,0,0,0,0
bacteria68,0,0,0,0,0,0,0,0
bacteria69,0,0,0,0,0,0,0,0
bacteria70,0,0,0,0,0,0,0,0
bacteria71,0,0,0,0,0,0,0,0
bacteria72,0,0,0,0,0,0,0,0
bacteria73,0,0,0,0,0,0,0,0
bacteria74,0,0,0,0,0,0,0.000418702,0.000132485
bacteria75,0,0,0,0,0,0,0,0
bacteria76,0,0,0,0,0,0.000202799,0.000279135,0
bacteria77,0,0,0,0,0,0,0,0
bacteria78,0,0.000102114,0.000113161,0,0,0,0,0
bacteria79,0,0,0,0,0,0,0,0
bacteria80,0,0,0,0,0,0,0,0
