,bacteria1,bacteria2,bacteria3,bacteria4,bacteria5,bacteria6,bacteria7,bacteria8,bacteria9,bacteria10,group,order,colour
sample1,0.402666667,0.195111111,0.079,0.038222222,0.038,0.036111111,0.029,0.026888889,0.025,0.020777778,groupA,1,#61C5E5
sample2,0.462111111,0.182666667,0.066888889,0.033,0.058333333,0.029777778,0.020111111,0.022888889,0.025333333,0.030222222,groupA,1,#61C5E5
sample3,0.376222222,0.152222222,0.114666667,0.033444444,0.100555556,0.033222222,0.019777778,0.016111111,0.034888889,0.033777778,groupA,1,#61C5E5
sample4,0.341555556,0.043777778,0.048555556,0.082333333,0.061555556,0.067,0.009666667,0.088333333,0.037777778,0.090333333,groupA,1,#61C5E5
sample5,0.098888889,0.003345,0,0.072666667,0.050777778,0.029,0.002222222,0.0017343,0.019,0.048777778,groupA,1,#61C5E5
sample6,0.183777778,0,0,0.071555556,0.062222222,0.028222222,0.009111111,0.000666667,0.032666667,0.051888889,groupA,1,#61C5E5
sample7,0.145555556,0,0,0.076444444,0.061777778,0.025333333,0.008333333,0.000555556,0.026777778,0.041555556,groupA,1,#61C5E5
sample8,0.123222222,0,0,0.059777778,0.023777778,0.021111111,0.003888889,0.000888889,0.019,0.021222222,groupB,2,#23AD7D
sample9,0.072111111,0.000111111,0,0.067777778,0.066111111,0.029888889,0.004111111,0.000333333,0.034333333,0.028666667,groupB,2,#23AD7D
sample10,0.123555556,0,0,0.056333333,0.039333333,0.014888889,0.005666667,0,0.013333333,0.020444444,groupB,2,#23AD7D
sample11,0.429,0,0,0.041777778,0.004444444,0.023,0.000111111,0.003333333,0,0.000111111,groupB,2,#23AD7D
sample12,0.356222222,0,0.000222222,0.047333333,0.018444444,0.040111111,0.000222222,0.002333333,0,0.000222222,groupB,2,#23AD7D
sample13,0.337111111,0,0,0.049,0.014111111,0.030666667,0.003555556,0.000666667,0.005222222,0.000333333,groupB,2,#23AD7D
sample14,0.439111111,0,0.000111111,0.038666667,0.005111111,0.03,0.006,0.000666667,0.005222222,0.000111111,groupB,2,#23AD7D
sample15,0.342888889,0,0,0.036666667,0.020888889,0.034,0.006555556,0.000777778,0.010777778,0.000333333,groupB,2,#23AD7D
pvalue,0.05,0.003,0.4,0.63,0.001,0.006,0.04,0.241,0.442,0.555,NA,NA,NA
